doi,repository,object_kind,publisher,landing_url,landing_host,prefix,client_id,title,error
10.1002/essoar.10504330.1,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1002/fld.3741,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1002/minf.202000081,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1002/mop.11193,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1002/mop.20327,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1002/mop.26160,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/3-540-44583-8_20,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/8415_2012_125,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-030-10475-7_28-1,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-030-47102-6_2,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-030-52482-1_16,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-030-66560-9_5,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-030-84141-6_3,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-030-87432-2_6,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-031-62700-2_22,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-031-81900-1_5,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-319-28712-6_21,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-319-75541-0,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-319-89641-0_2,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-642-13193-6_39,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-3-662-58664-8,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/978-981-19-3394-3_70,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s00134-024-07600-7,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s00180-024-01501-5,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s00205-017-1131-2,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s00362-018-01082-8,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s00362-023-01423-2,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s10115-016-0953-9,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s10766-005-6466-x,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s10851-022-01107-w,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s10851-022-01110-1,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s10878-010-9332-8,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s10955-020-02598-w,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s11071-019-05344-4,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s11238-019-09697-5,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s40509-022-00286-w,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1007/s42452-020-3122-4,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/esmoop/esmoop103010,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.aim.2017.01.016,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.dam.2024.08.001,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.dib.2018.09.034,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.ecoinf.2018.07.006,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.jlamp.2020.100606,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.respol.2018.07.021,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.respol.2020.104077,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1016/j.tca.2020.178597,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1017/9781009208550.018,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1017/etds.2021.75,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1038/nn1940,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1038/s41591-023-02327-2,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1038/srep27036,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1044/1092-4388(2011/10-0286,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1051/proc/202171100,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1075/z.194,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1093/gji/ggac263,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1093/icc/dtab009,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
10.1093/icc/dtm006,Unknown (DOI not in DataCite),unresolved,,,,,,,not_found
