halId_s,uri_s,title_s,doiId_s,journalTitle_s,producedDateY_i,retrieved_at,modifiedDate_tdate,laboratories,authors,linked_dataset_dois,linked_repositories,keywords
hal-03985366,https://hal.inrae.fr/hal-03985366v1,A dataset on the sensory and affective perception of Bordeaux and Rioja red wines collected from French and Spanish consumers at home and international wine students in the lab,10.1016/j.dib.2022.108873,Data in Brief,2023,2026-09-24T03:31:21Z,2026-09-24T03:31:21Z,CSGA | UB | CNRS | INRAE | Institut Agro | CEREN | BSB | BSE | LabPsy,Michel Visalli | Magalie Dubois | Pascal Schlich | François Ric | Jean-Marie Cardebat | Nikolaos Georgantzis,10.17632/f9wtj7s9b8.1,Mendeley Data,Sensory analysis | Liking | Free-comment | Temporal method | Willingness to pay | Cross-cultural | Impact of information | Incentive-compatible experiment
hal-04593965,https://hal.inrae.fr/hal-04593965v1,A dataset of perception and preferences of French consumers for commercial cooked hams sampled according to their nutritional values and claims,10.1016/j.dib.2024.110549,Data in Brief,2024,2026-09-23T08:54:28Z,2026-09-23T08:54:28Z,CSGA | UB | CNRS | INRAE | Institut Agro | Oniris VetAgroBio | StatSC,Michel Visalli | Anne-Laure Loiseau | Sylvie Cordelle | Benjamin Mahieu | Pascal Schlich,10.57745/ga5r6s,Recherche Data Gouv,Just-about-right scales | Hedonic test | Free comment | Field experiment | Consumer choices | Sensory evaluation
hal-05336575,https://hal.science/hal-05336575v1,Development of in situ real-time sensor for molecular contamination,10.1038/s41598-025-09312-4,Scientific Reports,2025,2026-09-23T08:53:47Z,2026-09-23T08:53:47Z,ICB | UTBM | CNRS | UBE | UC Berkeley | UC | ESSCA,Alexis Lasserre | Léo Simon | Julien Eck | Jérôme Rossignol | Céline Dupont | Didier Stuerga,,,
hal-04868448,https://hal.science/hal-04868448v1,A dataset of annotated free comments on the sensory perception of madeleines for benchmarking text mining techniques,10.1016/j.dib.2024.111250,Data in Brief,2025,2026-09-23T08:52:10Z,2026-09-23T08:52:10Z,CSGA | CNRS | INRAE | Institut Agro | UBE | GRAPPE | ESA | Oniris VetAgroBio | StatSC,Michel Visalli | Ronan Symoneaux | Cécile Mursic | Margaux Touret | Flore Lourtioux | Kipédène Coulibaly | Benjamin Mahieu,https://entrepot.recherche.data.gouv.fr/dataset.xhtml?persistentId=doi%3A10.57745%2F6EAICO,,Open ended questions | Natural language processing | Sensory evaluation | Drivers of liking
hal-04158500,https://hal.inrae.fr/hal-04158500v1,A dataset on concurrent and immediate retrospective measures of sensory perception and preferences of dark chocolates,10.1016/j.dib.2023.109314,Data in Brief,2023,2026-09-23T08:48:58Z,2026-09-23T08:48:58Z,CSGA | UB | CNRS | INRAE | Institut Agro | Oniris VetAgroBio | StatSC,Michel Visalli | Benjamin Mahieu | Pascal Schlich,,,Temporal dominance of sensations | Attack-evolution-finish | Ecological measures | Cognitive biases | Sensometrics
hal-02058685,https://hal.science/hal-02058685v1,"Comprehensive sensory and chemical data on the flavor of 16 red wines from two varieties: sensory descriptive analysis, HS-SPME-GC-MS volatile compounds quantitative analysis, and odor-active compounds identification by HS-SPME-GC-MS-O",10.1016/j.dib.2019.103725,Data in Brief,2019,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,GEPEA-MAPS2 | GEPEA | IUT Nantes | UN | UN UFR ST | IUT Saint-Nazaire | EPUN | Oniris VetAgroBio | CNRS | UBL | IMT Atlantique | IMT,Angélique Villière | Ronan Symoneaux | Alice Roche | Aïda Eslami | Carole Prost | Philippe Courcoux | Evelyne Vigneau | Thierry Thomas-Danguin | Laurence Guerin,,,Wine | Olfactometry | GC-MS-O | Descriptive sensory analysis | VOC
hal-02624391,https://hal.inrae.fr/hal-02624391v1,Data on the expression of GSTE1 and GSTE7 in Drosophila chemosensory organs after isothiocyanate exposure,10.1016/j.dib.2018.07.062,Data in Brief,2018,2026-09-22T03:51:23Z,2026-09-22T03:51:23Z,CSGA | INRA | UB | CNRS | UBFC | ICB | UTBM,Stéphane Fraichard | Daniel Gonzalez | Paul Grassein | Patrice Delarue | Patrick Senet | Adrien Nicolaï | Evelyne Chavanne | Elodie Mucher | Yves Artur | Jean-François Ferveur | Jean-Marie Heydel | Loïc Briand | Fabrice Neiers,https://www.sciencedirect.com/science/article/pii/S2352340918308412,,
insu-05680852,https://insu.hal.science/insu-05680852v1,"Comprehensive dataset of continuously monitored hydrodynamic and physico-chemical parameters in various karst systems, France",10.1038/s41597-026-07561-0,Scientific Data,2026,2026-09-22T03:47:07Z,2026-09-25T09:54:45Z,EMMAH | AU | INRAE | HSM | IRD | INSU - CNRS | CNRS | UM | OSU OREME | M2C | UNICAEN | NU,Guillaume Cinkus | Raphaël Bondu | Mohammed Aliouache | Hervé Jourde | Naomi Mazzilli | Bruno Arfib | Vincent Bailly-Comte | Christelle Batiot-Guilhe | Hélène Celle | Célestine Delbart | Matthieu Fournier | David Labat | Nicolas Peyraube | Marc Steinmann | Danièle Valdès-Lao | Cécile Baudement | Sandra Béranger | Stéphane Binet | Anne Boetsch | Pascal Brunet | Simon Damien Carrière | Konstantinos Chalikakis | Jean-Baptiste Charlier | Yohann Cousquer | Christian Défarge | Joshua Ducasse | Christophe Emblanch | Juliette Fabre | Perrine Fleury | Thibaut Garin | Julien Huon | Abderrahim Jardani | Anne Johannet | Johan Jouves | Nevila Jozja | Lucile Justy | Bernard Ladouche | Thierry Lamarque | Roland Lastennet | Véronique Léonardi | Olivier Lobry | Guillaume Lorette | Christophe Loup | Pierre Marchand | Louis Manière | Jean-Christophe Maréchal | Lucie Martin | Rémi Muller | Nicolas Massei | Fabien Naessens | Chloé Ollivier | Anne Probst | Jean-Luc Seidel | Leïla Serene | Vianney Sivelle | Alexandre Zappelli,,,
hal-01245390,https://hal.science/hal-01245390v1,Housing land transaction data and structural econometric estimation of preference parameters for urban economic simulation models,10.1016/j.dib.2015.09.047,Data in Brief,2015,2026-09-22T03:40:54Z,2026-09-22T03:40:54Z,uni.lu | INRA | UCLouvain | CORE | LIDAM | ThéMA | UB | CNRS | UMLP,Geoffrey Caruso | Jean Cavailhès | Dominique Peeters | Isabelle Thomas | Pierre Frankhauser | Gilles Vuidel,https://archives-publications.inrae.fr/334343,,Urban economic simulation models | Dataset
hal-05084103,https://hal.science/hal-05084103v1,Global Roadkill Data: a dataset on terrestrial vertebrate mortality caused by collision with vehicles,10.1038/s41597-024-04207-x,Scientific Data,2025,2026-09-22T03:33:29Z,2026-09-22T03:33:29Z,CIBIO | UNC | UFS | IREC | UCLM | CEBC | ULR | CNRS | INRAE | ThéMA | UMLP | UBE,Clara Grilo | Tomé Neves | Jennifer Bates | Aliza Le Roux | Pablo Medrano-Vizcaíno | Mattia Quaranta | Inês Silva | Kylie Soanes | Yun Wang | Sergio Damián Abate | Fernanda d' Abra | Pedro Rodrigues de Alencar | Mariana Fernanda Peres de Almeida | Mario Henrique Alves | Paloma Alves | André Ambrozio de Assis | Rob Ament | Richard Andrášik | Edison Araguillin | Danielle Rodrigues de Araújo | Alexis Araujo-Quintero | Jesús Arca-Rubio | Morteza Arianejad | Carlos Armas | Erin Arnold | Fernando Ascensão | Badrul Azhar | Seung-Yun Baek | Hemant Bajpai | Dimitrios Bakaloudis | Ana Carolina França | Balbino-Silva Balbino-Silva | Alessandro Balestrieri | Rosario Balestrieri | Udita Bansal | Christophe Barbraud | Allison Barg | Rafael Barrientos | Priscila Cortêz Barth | Tomáš Bartonička | Marco Basile | Matteo Luca Bastianelli | Gabriela Batista | James Baxter-Gilbert | Júlia Beduschi | Satyaranjan Behera | Katrina Bélanger-Smith | Mohamed Belkacem | Yanina Benedetti | Griselda Benítez-Badillo | Jim Betlhoff | Beulah Bah Jesudass | Alexandra Maria Ramos Bezerra | Michal Bíl | Daniel Blamires | Juliano André Bogoni | Vasileios Bontzorlos | Amael Borzee | Than Boves | Alex Augusto | Abreu Bovo | Sean P Boyle | Cecília Bueno | John K Bukombe | Ufuk Bülbül | Eugenia María | Amanda de Campos | João Campos | David Canal | Patricio Canul Chuc | Anthony Caravaggi | Guillermo Carmona | Filipe Carvalho | Victor Castelazo-Calva | Karoline Ceron | Rodolfo Cervantes-Huerta | Jaroslav Červinka | Desalegn Chala | Noah Charney | Matthew W H Chatfield | Jorge José Cherem | Bryan Chruszcz | Kerim Çiçek | Vojtech Cicha | Alfred-Ștefan Cicort-Lucaciu | Victor J Colino-Rabanal | Wendy Collinson | Patrick Colombo | Andréa C G L Costa | Gabriel Carvalho Costa | José Roberto Nascimento da Costa | Ana Luiza Costa-Silva | Severus-Daniel Covaciu-Marcov | Michael V Cove | Kelly A Crandall | Matthew Crane | Lucas Batista Crivellari | Adriano Souza da Cunha | Hélida Ferreira da Cunha | Maria Eduarda Bernardino Cunha | Marcello d'Amico | Jyoti Das | Katia M P M B Ferraz | Leonidas De Los | Reyes Lara | Juan Domingo Delgado | Shailesh Desai | Arnaud Desbiez | André Desrochers | Raphael Igor Dias | Thiago da Costa Dias | Prateep Duengkae | Martin Duľa | Jessica Durán-Antonio | Thomas Engleder | Martin Ernst | Mauricio Failla | Abul Hassan Faiz | Mattia Falaschi | Felipe Moreli Fantacini | Sára Ferenți | Marcela Ferreira | Miguel Ferrer | Rafael G Cabral Filho | Jonathan Filius | Pedro Santana Fischer | Jean-Christophe Foltête | Marco Aurélio | Leite Fontes | Marc Franch Quintana | Marcelo Duarte Freire | Robert D Fyumagwa | Diego Gallego-García | Dumas Gálvez | Lilia María | Gama Campillo | Nuno Garcia | José-María García- Carrasco | Núria Garriga-Rovira | Viorel Dumitru Gavril | Iago Vinicios Geller | Iulian Gherghel | Xavier Girardet | Samuel Ferreira Gohlke | Samuel C Gomides | Alberto González-Gallina | José Gordillo- Chávez | Jai Green-Barber | Kari Gunson | Tsegazeabe Hadush Haileselasie | Farah Hamici | Wellington Hannibal | Kwaslema M Hariohay | Mandana Hazrati | Sol Heber | Dener Heiermann | Anuar Hernández-Saint Martin | Mathias Herrmann | Marco Heurich | Mircea G Hidalgo-Mihart | Pim van Hooft | Stefanie Huck | Marcel Pieter Huijser | Magne Husby | Jochen a G Jaeger | Dariusz Jakubas | Tomáš Janík | Miloslav Jirků | Nitin Joshi | Ritesh Joshi | Romain Juilliard | Márcio Vieira de Carvalho Junior | Willi Bruschi Junior | Mikołaj Kaczmarski | Wanmo Kang | Pandi Karthik | Sivaraj Karthick | Suranjan Karunarathna | Subbiah Karuppusamy | Abeje Kassie | Zdenek Keken | Alexis Grote Kellermann | Naim Khandakar | Andreas Kindel | Daniel Knitter | Halime Koç-Gür | Krzysztof Kolenda | Jan Kubeček | Wuttisak Kummoo | Tomáš Kušta | Bibhuti Lahkar | Jochen Langbein | Stefano Lapadula | Michael Daniel | Larreátegui Palma | Dimitra Lazaridou | Magdalena Lazarus | Camila Rabelo | Oliveira Leal | Gregory Leclair | Seong-Min Lee | Rodrigo Lehn | Carlos Luiz | Jabamalainathan Leona Princy | Stalo Leontiou | Isabel Salgueiro Lermen | David Lesbarrères | Qilin Li | Vassilis Litskas | Jacqueline D Litzgus | Yan Liu | Gustavo A Llorente | Victor J T Loehr | Varga Lopes | Isaac Lord | Robert Ludgate | Ruth Del | Luna Ruíz | Richard D Lyamuya | Felipe Santana Machado | Reginaldo Assencio Machado | Marlon Macías González | Jenny Macpherson | Marcelo Magioli | Raoul Manenti | Amit Manhas | Luis Renato Bernardo | Marko Anđelković | David G Marneweck | Juan Ignacio Zanón-Martínez | Fernando Martínez-Freiría | Luiza Barros Martins | H Masenga | Edith Mata Zayas | Denise Lidório Mattia | Jenny Mattisson | Sujatha Mayadunnage | Martin Mayer | Matthew R Mclennan | Maulid L Mdaki | Raluca Melenciuc | Cristina Fabiana | Alves Silveira | Fabiano Rodrigues de Melo | Pier Giuseppe Meneguz | Jorge Fernando | Saraiva Menezes | Talita Menger | Mebrahtom Mesfin | Fabio Leonardo Meza-Joya | Jefferson Eduardo | Silveira Miranda | Asako Miyamoto | Javier Moguel Ordóñez | Alireza Mohammadi | Albert Montori | Federico Morelli | Marcia Moreno-Baez | Gregorio Moreno-Rueda | Roberta Moriano | Aloysio Souza Moura | Getachew Mulualem | Claire Mundy | Grayson G Mwakalebe | Robert W Mysłajek | Allisya Nasir | Sara Navarro | Neda Bogdanović | Luca Nelli | Jiří Neudert | Maarten Nieuwenhuis | Ally K Nkwabi | Sabina Nowak | Julie Old | Gustavo Luiz | Oliveira Rodrigues | Reis Diogo | Gabriela Schuck de Oliveira | José Everaldo de Oliveira | Rezende Oliveira | Paula Maiten Orozco-Valor | Mário Luís Orsi | Zaida Ortega | Fabrice G W A Ottburg | Ali Uğur Özcan | Hatice Özkan | Paanwaris Paansri | J Pacheco-Figueroa | Jeffrey Parmelee | Claire Patterson-Abrolat | Brent S Pease | Alan Deivid Pereira | Deivid Pereira | Josani Carbonera Pereira | Jori Ramos Pereira | Fernando Kleber | Mariluci Pereira | Milton Perelló | Wibke Peters | Oscar Piguave Anchundia | Richard Pither | Judith Plante | Geisy Kelen Plodowski | Daniel- Răzvan Pop | Laxmanan Prakash | Ali Turk Qashqaei | Pablo Quiles | Abdelwahab Rai | Eliana Ramos | Nilton Rascon | Gianluca Rassati | Kaitlyn Read | Joseph Redinger | Eloy Revilla | Paulo Ribeiro | Yuri Geraldo Gomes Ribeiro | Julia L Riley | Daniel Borba Rocha | Lício Mota da Rocha | José Rocha | Rodrigo Becker Rodrigues | Airam Rodríguez | Beneharo Rodríguez | Octavio Rojas-Soto | Michael J Rolheiser | Jacinto Román | Dušan Romportl | Clarissa Rosa | Marcin Ryś | Guilherme Augusto Munhoz de Sá | João Vinícius Sachet | Enrique Sacramento | Joel C Saenz | Tiberiu Constantin Sahlean | Naomi Saito | Jaime A Salas | Martin Šálek | Arockianathan Samson | Arya Sanjar | Mariela Santacruz | Palanisamy Santhoshkumar | Manuel Santiago-Plata | Adryhano Dos Santos | Xavier Santos | José Hernán Sarasola | Sema Sarıkurt | Tommaso Savini | Shauna Sayers | M Schalk | Greta Schmidt | David Seburn | Jiří Sedoník | Andrés E Seijas | Margareth Lumy Sekiama | Lorena Sforza | Bhuvan Keshar Sharma | Bibek Raj Shrestha | Rodrigo Sidooski | Neftalí Sillero | Antonio Guilherme Cândido da Silva | André Luiz Ferreira da Silva | Daniel Silva | Eduardo Araujo da Silva | Daniel Vilasboas Slomp | Mahmood Soofi | Ronald Sosa | Marina de Souza | Wellington Fernandes de Souza | Ariel G Spanowicz | Răzvan Stanciu | Hayley Stannard | Mitch Sternberg | Grace Stonecipher | Alexandru Strugariu | Warong Suksavate | Thilina D Surasinghe | Lourens H Swanepoel | Hilary Swarts | Syoko Tamanaha | Jiraporn Teampanpong | Mekonen Teferi | Fernanda Zimmermann Teixeira | Gustavo Tejera | Leonardo Teófilo Teles | Weldemariam Tesfahunegny | Bill Thompson | Paolo Tizzani | Giedrius Trakimas | Ricardo Keichi Umetsu | Pantiya Utsa | Viral Vadodariya | Juan de Dios Valdez Leal | Francesco Valerio | A van der Grift | Yntze van der Hoek | Aayush Vasava | Nadines Velázquez | Guillermo Velo-Antón | Vinícius Rozendo Vianna | Ana Paula Vidotto- Magnoni | Ioannis Vogiatzakis | Mengistu Wale | Yuya Watari | Samual T Williams | Marina Winter | Donggul Woo | Marcelo Hideki | Shigaki Yabu | Pochamoni Bharath | Simha Yadav | Muhammad Syafiq Yahya | Regina Débora | Răzvan Zaharia | Sarah Shazwani Zakaria | Caroline Zank | Antonio Carlos Da | Silva Zanzini | Glauco Zeferino | Juli Luft Zenere | Jairo José Zocche | Ludmila Zoel | Savvas Zotos | Eric Guinard,,,
hal-04345122,https://hal.inrae.fr/hal-04345122v1,M2OR: a database of olfactory receptor–odorant pairs for understanding the molecular mechanisms of olfaction,10.1093/nar/gkad886,Nucleic Acids Research,2024,2026-09-22T03:25:37Z,2026-09-22T03:25:37Z,ICN | UNS | INC-CNRS | CNRS | UniCA | CSGA | UB | INRAE | Institut Agro,Maxence Lalis | Matej Hladiš | Samar Abi Khalil | Loïc Briand | Sébastien Fiorucci | Jérémie Topin,https://m2or.chemsensim.fr,,Olfaction | Molecular mechanism | Database
